case,cvar,value,runs,avg_fps,low_1_fps,low_01_fps,p99_frame_ms,delta_avg_fps_pct,fps_cv_pct,round_1_fps,round_2_fps,round_3_fps,quality_notes
baseline,,,3,278.24127292035587,145.64562832822378,117.04963693735824,6.3525481333333325,0.0,0.6648266859421875,280.25200320117574,276.6117562762535,277.86005928363835,"Replay progression and camera require operator review; demo_info describes the file, not current playback state."
pv8-particle-count-250,cl_particle_max_count,250,3,249.18145735461675,138.69496264347944,113.04294160767085,6.668269233333333,-10.44410674977656,0.6964102711070328,250.95436645800328,247.486331824866,249.1036737809809,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_max_count: no readback; this game build may ignore or reject the setting."
pv8-particle-count-500,cl_particle_max_count,500,3,249.79568464721766,138.5975870583176,114.89234722501014,6.661742600000001,-10.223353269836611,0.21608405254575472,250.40924410765547,249.583819480983,249.39399035301446,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_max_count: no readback; this game build may ignore or reject the setting."
pv8-particle-size-1600,r_particle_max_size_cull,1600,3,275.1723956588066,141.7440928883091,113.09569996226499,6.417067833333334,-1.1029554419943022,0.5773343708003179,274.8658352761385,273.75935166394623,276.89200003633493,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_max_size_cull: no readback; this game build may ignore or reject the setting."
pv8-particle-size-2400,r_particle_max_size_cull,2400,3,277.02292683896957,144.59775242578937,117.64451209602669,6.390333099999999,-0.4378739604656179,0.4559863397981424,275.76601762941357,277.01046407028025,278.2922988172148,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_max_size_cull: no readback; this game build may ignore or reject the setting."
pv8-particle-size-600,r_particle_max_size_cull,600,3,273.9918636292095,141.77255564760515,112.11791476857142,6.463387466666666,-1.5272390204895014,0.8953424288611752,276.48583507769735,271.58164949952493,273.90810631040625,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_max_size_cull: no readback; this game build may ignore or reject the setting."
pv8-particle-size-900,r_particle_max_size_cull,900,3,273.89282590902616,137.30132818515276,96.87367848283033,6.462469366666667,-1.5628332079167917,1.071718453801339,276.12688012339936,274.9833063134403,270.5682912902388,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_max_size_cull: no readback; this game build may ignore or reject the setting."
pv8-shadow-size-20,lb_sun_csm_size_cull_threshold_texels,20,3,276.6758450810283,144.42623960681658,116.65140470622642,6.393089233333335,-0.5626152521864269,0.9180668827247083,273.97979782562754,279.0240931723973,277.02364424506,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_sun_csm_size_cull_threshold_texels: no readback; this game build may ignore or reject the setting."
pv8-shadow-size-30,lb_sun_csm_size_cull_threshold_texels,30,3,280.4001943502838,145.53221279482543,114.46310951634875,6.2754808,0.7759170331807397,0.8714590253717904,277.6085017603664,282.15084678313275,281.4412345073524,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_sun_csm_size_cull_threshold_texels: no readback; this game build may ignore or reject the setting."
pv8-shadow-size-5,lb_sun_csm_size_cull_threshold_texels,5,3,274.7932915005567,143.6765447140105,114.60759188258942,6.444769033333333,-1.2392055943426294,1.4114508151511214,278.5935026423314,274.9455305409445,270.8408413183942,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_sun_csm_size_cull_threshold_texels: no readback; this game build may ignore or reject the setting."
pv8-shadow-size-60,lb_sun_csm_size_cull_threshold_texels,60,3,283.08239516932235,147.3542397285528,117.15214291163379,6.250851399999998,1.7399008415089456,0.5252015532783745,282.48782082009313,281.9849436959163,284.7744209919577,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_sun_csm_size_cull_threshold_texels: no readback; this game build may ignore or reject the setting."
pv8-sim-mult-1,cl_particle_sim_fallback_base_multiplier,1,3,279.0856378482916,144.57813220805986,111.37660893587872,6.347717866666664,0.30346501763502953,0.6608579633986061,277.70618312816737,281.1805310600294,278.37019935667803,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_base_multiplier: no readback; this game build may ignore or reject the setting."
pv8-sim-mult-10,cl_particle_sim_fallback_base_multiplier,10,3,277.9835473418876,143.92637303151955,116.0518292468035,6.4391747,-0.09262665303506612,0.057213578100473526,277.87032872842803,278.1653814837782,277.91493181345646,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_base_multiplier: no readback; this game build may ignore or reject the setting."
pv8-sim-mult-100,cl_particle_sim_fallback_base_multiplier,100,3,280.31144908318737,144.8716114474969,114.84055839100928,6.373610333333333,0.7440219565930661,1.0639679759295069,278.8737616043919,283.7403932368908,278.3201924082794,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_base_multiplier: no readback; this game build may ignore or reject the setting."
pv8-sim-mult-25,cl_particle_sim_fallback_base_multiplier,25,3,278.2835263248058,145.71695696460304,115.53083170407622,6.352579600000001,0.015185886696977846,0.8568088865410239,280.51749503461286,278.5601706311227,275.7729133086819,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_base_multiplier: no readback; this game build may ignore or reject the setting."
pv8-sim-threshold-1,cl_particle_sim_fallback_threshold_ms,1,3,278.4199538327757,145.37070335087006,115.16028128447113,6.3344612,0.06421797548021857,0.9711287517394852,275.3011334147663,279.855502975027,280.1032251085339,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_threshold_ms: no readback; this game build may ignore or reject the setting."
pv8-sim-threshold-2,cl_particle_sim_fallback_threshold_ms,2,3,277.24914229905994,143.67962993638972,115.20766514350782,6.3653309,-0.3565720537728856,0.668092224620682,277.4906729834997,275.2879454161582,278.96880849752193,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_threshold_ms: no readback; this game build may ignore or reject the setting."
pv8-sim-threshold-4,cl_particle_sim_fallback_threshold_ms,4,3,276.27620003572054,143.8102989855754,115.77059730001749,6.386696733333334,-0.7062478057300314,0.773853495223334,273.845753894611,277.11641997923306,277.86642623331755,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_threshold_ms: no readback; this game build may ignore or reject the setting."
pv8-sim-threshold-8,cl_particle_sim_fallback_threshold_ms,8,3,276.65792408896186,143.40361288826864,113.50882710271792,6.4071316,-0.569056062307205,0.5087664884801024,276.81860027220813,277.97823374834104,275.17693824633636,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_threshold_ms: no readback; this game build may ignore or reject the setting."
