case,cvar,value,runs,rounds,mean_avg_fps,delta_vs_three_baseline_mean_pct,mean_1pct_low_fps,mean_01pct_low_fps,mean_p99_ms,run_cv_pct,variance_flag,run_avg_fps,quality_notes
tf100-018-r-particle-cables-render,r_particle_cables_render,0,3,1+2+3,277.36781788069226,1.1778490565790056,143.7105766573418,113.93189514547225,6.383471933333333,0.46,False,276.1/276.9/279.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_cables_render: no readback; this game build may ignore or reject the setting."
tf100-019-r-particle-cables-render-meshlets,r_particle_cables_render_meshlets,0,3,1+2+3,278.2494887975964,1.4994637544545775,144.26266165989145,116.71942636280079,6.355754833333337,0.46,False,277.3/277.4/280.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_cables_render_meshlets: no readback; this game build may ignore or reject the setting."
tf100-020-r-draw-particle-children-with-parents,r_draw_particle_children_with_parents,0,3,1+2+3,271.9692686393386,-0.7914262704567188,140.9738199145,113.44684059996457,6.497667799999999,0.55,False,269.9/272.6/273.4,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-021-cl-disable-ragdolls,cl_disable_ragdolls,1,3,1+2+3,279.84267701623907,2.0806247497575203,146.33929251679066,121.0165195545192,6.324791033333334,0.4,False,278.4/280.1/281.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-022-cl-ragdoll-limit,cl_ragdoll_limit,1,3,1+2+3,277.96286683910006,1.3949101927810403,146.3397335286904,117.79291273252745,6.309635700000001,1.3,True,272.9/279.8/281.2,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_ragdoll_limit: requested 1, read back 20."
tf100-023-cl-phys-animated-hierarchy,cl_phys_animated_hierarchy,0,3,1+2+3,275.57456080075355,0.5237072187118441,145.11725927422071,115.38495272438,6.369416433333335,1.56,True,272.2/272.8/281.7,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_phys_animated_hierarchy: no readback; this game build may ignore or reject the setting."
tf100-024-cl-phys-networked-start-sleep,cl_phys_networked_start_sleep,1,3,1+2+3,277.8641333668099,1.3588943332897063,143.94369056942648,113.27463373461387,6.390807266666666,0.56,False,275.7/278.9/279.0,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_phys_networked_start_sleep: no readback; this game build may ignore or reject the setting."
tf100-025-cl-simulate-dormant-entities,cl_simulate_dormant_entities,0,3,1+2+3,273.6020826191032,-0.19581064480704846,142.07791161220644,113.38715636897382,6.455102233333332,0.91,False,270.1/274.9/275.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_simulate_dormant_entities: no readback; this game build may ignore or reject the setting."
tf100-026-cloth-sim-on-tick,cloth_sim_on_tick,0,3,1+2+3,279.25877688685756,1.8676304679908773,144.77841770292625,115.95283257105625,6.381200266666668,0.12,False,278.9/279.2/279.7,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cloth_sim_on_tick: no readback; this game build may ignore or reject the setting."
tf100-027-ik-enable,ik_enable,0,3,1+2+3,277.99317508117815,1.4059659914154254,144.00445774991024,115.8931444982613,6.345740833333333,0.06,False,277.8/277.9/278.2,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-028-ik-final-fixup-enable,ik_final_fixup_enable,0,3,1+2+3,277.0881415651485,1.0758291169371326,143.55003055331386,115.71395005813599,6.387347999999999,1.46,True,271.5/278.9/280.9,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | ik_final_fixup_enable: no readback; this game build may ignore or reject the setting."
tf100-029-ik-constraints-enabled,ik_constraints_enabled,0,3,1+2+3,274.1913810614497,0.019152826098056686,143.723162963195,113.47557836268992,6.407392766666667,1.04,True,270.6/274.3/277.6,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | ik_constraints_enabled: no readback; this game build may ignore or reject the setting."
tf100-030-ik-fabrik-align-chain,ik_fabrik_align_chain,0,3,1+2+3,276.8415060135771,0.985861741487648,143.21405928655673,115.04611569445154,6.441151333333334,0.16,False,276.4/276.6/277.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | ik_fabrik_align_chain: no readback; this game build may ignore or reject the setting."
tf100-031-ik-planetilt-enable,ik_planetilt_enable,0,3,1+2+3,274.7687149487599,0.22975188316187722,143.6646132382701,114.29773736070943,6.4142269,0.72,False,273.2/273.6/277.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | ik_planetilt_enable: no readback; this game build may ignore or reject the setting."
tf100-032-animgraph-footlock-enabled,animgraph_footlock_enabled,0,3,1+2+3,279.5733871271425,1.98239355639247,144.4555208021601,114.30899186227317,6.3337168666666654,0.91,False,276.0/281.2/281.6,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_footlock_enabled: no readback; this game build may ignore or reject the setting."
tf100-033-animgraph-footlock-ik-enable,animgraph_footlock_ik_enable,0,3,1+2+3,276.06934100377225,0.7041924569767488,143.99550791514625,112.4870090987689,6.413672233333333,0.22,False,275.3/276.2/276.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-034-animgraph-footlock-trace-ground-enabled,animgraph_footlock_trace_ground_enabled,0,3,1+2+3,278.1667583243447,1.469285446823232,144.20243061425208,116.24618832365273,6.38514693333333,1.01,True,275.8/276.6/282.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_footlock_trace_ground_enabled: no readback; this game build may ignore or reject the setting."
tf100-035-animgraph-footlock-auto-ledge-detection,animgraph_footlock_auto_ledge_detection,0,3,1+2+3,273.35292401701264,-0.2866983751359853,141.9849015044273,112.94525876519548,6.472504499999999,0.78,False,271.2/272.6/276.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_footlock_auto_ledge_detection: no readback; this game build may ignore or reject the setting."
tf100-036-animgraph-footlock-auto-stair-detection,animgraph_footlock_auto_stair_detection,0,3,1+2+3,275.6937122611527,0.5671711236711507,141.38935621293928,112.63703566897595,6.478324333333333,0.49,False,273.8/276.3/277.0,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_footlock_auto_stair_detection: no readback; this game build may ignore or reject the setting."
tf100-037-animgraph-footlock-calculate-tilt,animgraph_footlock_calculate_tilt,0,3,1+2+3,276.35052187472826,0.8067612262613544,143.51650297089893,114.28924141944754,6.414888200000001,0.96,False,272.8/277.1/279.2,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_footlock_calculate_tilt: no readback; this game build may ignore or reject the setting."
tf100-038-animgraph-footlock-use-hip-shift,animgraph_footlock_use_hip_shift,0,3,1+2+3,276.9668386416786,1.0315804042539733,144.50911316434227,114.83504780750194,6.387361133333335,0.38,False,275.9/276.7/278.4,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_footlock_use_hip_shift: no readback; this game build may ignore or reject the setting."
tf100-039-animgraph-footlock-hip-offset-enable,animgraph_footlock_hip_offset_enable,0,3,1+2+3,276.23775999493824,0.7656281036810153,142.6112567406802,113.00323341466685,6.422968133333334,0.61,False,274.0/276.5/278.2,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_footlock_hip_offset_enable: no readback; this game build may ignore or reject the setting."
tf100-040-animgraph-slowdownonslopes-enabled,animgraph_slowdownonslopes_enabled,0,3,1+2+3,276.48309422634446,0.8551207853601417,142.05198673164873,113.81888394563401,6.482425733333332,0.19,False,275.8/276.6/277.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | animgraph_slowdownonslopes_enabled: no readback; this game build may ignore or reject the setting."
tf100-041-cl-skel-constraints-enable,cl_skel_constraints_enable,0,3,1+2+3,276.72646405114875,0.943896893515439,144.27538163910785,115.94681170781583,6.375589199999999,0.56,False,275.4/275.9/278.9,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-042-r-morphing-enabled,r_morphing_enabled,0,3,1+2+3,279.89215523078684,2.09867334444076,144.55103948431176,113.29986073050803,6.303910633333327,0.8,False,277.1/280.0/282.6,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-043-r-smooth-morph-normals,r_smooth_morph_normals,0,3,1+2+3,275.1545425664187,0.3704935480010496,144.03165705462968,116.9771587168474,6.478529833333332,0.12,False,274.9/275.0/275.6,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-044-cl-enable-eye-occlusion,cl_enable_eye_occlusion,0,3,1+2+3,277.29471377485646,1.1511822419420836,145.52796789802503,116.73514006317923,6.3732826666666655,0.58,False,275.3/277.3/279.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_enable_eye_occlusion: no readback; this game build may ignore or reject the setting."
tf100-045-r-strip-invisible-during-sceneobject-update,r_strip_invisible_during_sceneobject_update,1,3,1+2+3,279.62260689842924,2.0003478765003413,143.0264164245383,111.77717624749893,6.383450466666669,0.94,False,277.3/278.3/283.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_strip_invisible_during_sceneobject_update: no readback; this game build may ignore or reject the setting."
tf100-046-sc-clutter-enable,sc_clutter_enable,0,3,1+2+3,278.32168287035006,1.5257986084822095,144.0132253850379,113.69919272759348,6.303395200000001,0.65,False,275.8/279.4/279.9,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_clutter_enable: no readback; this game build may ignore or reject the setting."
tf100-047-sc-clutter-density-full-size,sc_clutter_density_full_size,0.5,3,1+2+3,279.27067726256513,1.8719714705853985,144.4717559870685,114.73719666135501,6.394272933333333,0.61,False,277.9/278.3/281.7,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_clutter_density_full_size: no readback; this game build may ignore or reject the setting."
tf100-048-sc-clutter-density-none-size,sc_clutter_density_none_size,0.1,3,1+2+3,277.5132003165067,1.230881460477562,145.12481551550763,114.74912970962426,6.338246666666667,1.66,True,272.4/276.5/283.6,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_clutter_density_none_size: no readback; this game build may ignore or reject the setting."
tf100-049-r-propsmaxdist,r_propsmaxdist,700,3,1+2+3,273.3775742549266,-0.27770649543658044,142.25473791967428,114.12486193614556,6.490907400000001,0.44,False,272.3/272.8/275.0,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_propsmaxdist: no readback; this game build may ignore or reject the setting."
tf100-050-r-size-cull-threshold,r_size_cull_threshold,1.6,3,1+2+3,292.4065192739991,6.663645755002978,151.3639041887399,117.15068752191773,5.9620467999999995,0.47,False,290.5/293.3/293.4,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_size_cull_threshold: no readback; this game build may ignore or reject the setting."
tf100-051-sc-instanced-mesh-size-cull-bias,sc_instanced_mesh_size_cull_bias,10,3,1+2+3,277.8159685619166,1.341324842364,144.19933467067045,116.45076978965211,6.4333154666666665,0.29,False,276.9/277.7/278.9,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_instanced_mesh_size_cull_bias: no readback; this game build may ignore or reject the setting."
tf100-052-sc-instanced-mesh-lod-bias,sc_instanced_mesh_lod_bias,15,3,1+2+3,276.87225139272965,0.9970769983795646,143.69697641545574,115.03482763846235,6.426240133333334,0.32,False,275.6/277.3/277.7,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_instanced_mesh_lod_bias: no readback; this game build may ignore or reject the setting."
tf100-053-sc-aggregate-bvh-threshold,sc_aggregate_bvh_threshold,256,3,1+2+3,275.31457110230616,0.4288685360313238,143.04934332309256,113.87643965245536,6.478015033333333,0.7,False,273.0/275.1/277.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_aggregate_bvh_threshold: no readback; this game build may ignore or reject the setting."
tf100-054-sc-layer-batch-threshold,sc_layer_batch_threshold,256,3,1+2+3,273.32676084110693,-0.2962421422638917,142.9192411436456,114.82396582123086,6.396213466666668,0.48,False,271.6/273.6/274.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_layer_batch_threshold: no readback; this game build may ignore or reject the setting."
tf100-055-sc-layer-batch-threshold-fullsort,sc_layer_batch_threshold_fullsort,120,3,1+2+3,276.84711983117376,0.9879095421076567,143.8857982387781,113.1132360211861,6.352790966666666,0.43,False,275.2/277.4/278.0,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_layer_batch_threshold_fullsort: no readback; this game build may ignore or reject the setting."
tf100-056-sc-force-materials-batchable,sc_force_materials_batchable,1,3,1+2+3,277.14138133685645,1.0952498472396988,143.3803572815036,115.64465703238466,6.451201633333331,0.47,False,275.8/276.7/278.9,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-057-sc-force-single-display-list-per-layer,sc_force_single_display_list_per_layer,1,3,1+2+3,276.26366031476306,0.7750759865312151,144.29397456560233,114.779707612076,6.396214633333334,0.75,False,274.7/274.9/279.2,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | sc_force_single_display_list_per_layer: no readback; this game build may ignore or reject the setting."
tf100-058-cl-impacteffects,cl_impacteffects,0,3,1+2+3,272.0814032851031,-0.7505219494368665,141.4896690047079,114.49079373378557,6.485605166666663,0.55,False,270.0/272.9/273.4,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_impacteffects: no readback; this game build may ignore or reject the setting."
tf100-059-cl-show-splashes,cl_show_splashes,0,3,1+2+3,277.5767123746554,1.2540493012232812,144.92526613065334,115.78525569824292,6.341990200000001,0.72,False,275.7/276.6/280.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_show_splashes: no readback; this game build may ignore or reject the setting."
tf100-060-snd-steamaudio-max-occlusion-samples,snd_steamaudio_max_occlusion_samples,32,3,1+2+3,275.7689255804716,0.5946073342857794,144.09110373126921,115.23840621571757,6.4111442,0.59,False,274.4/274.9/278.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-061-snd-steamaudio-num-diffuse-samples,snd_steamaudio_num_diffuse_samples,512,3,1+2+3,276.46293423300665,0.8477668508680258,144.82848241330564,114.79096675220045,6.3667083,0.98,False,273.1/276.5/279.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-062-snd-steamaudio-num-threads,snd_steamaudio_num_threads,4,3,1+2+3,277.0363333029309,1.0569305706869425,144.00239649936475,115.00044729428548,6.369864266666667,0.45,False,275.9/276.4/278.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-063-snd-occlusion-bounces,snd_occlusion_bounces,0,3,1+2+3,277.6295587479872,1.2733265282101724,144.40833384256578,115.45562594528023,6.425843499999999,0.14,False,277.1/277.9/278.0,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-064-snd-use-baked-occlusion,snd_use_baked_occlusion,1,3,1+2+3,274.72664334448893,0.2144050615333848,142.41646301127295,113.63444211741046,6.510686566666666,0.78,False,272.0/275.0/277.2,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-065-snd-occlusion-rays,snd_occlusion_rays,0,3,1+2+3,274.65861797889335,0.18959086273830916,143.96509958256584,116.12861404817625,6.419214266666667,0.59,False,273.4/273.7/276.9,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review."
tf100-066-r-citadel-gpu-culling-shadows,r_citadel_gpu_culling_shadows,1,3,1+2+3,273.8106522396761,-0.11972890702884875,141.4154458650503,112.76884427072639,6.4744764,0.35,False,272.8/273.6/275.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_citadel_gpu_culling_shadows: no readback; this game build may ignore or reject the setting."
tf100-067-lb-enable-shadow-casting,lb_enable_shadow_casting,0,3,1+2+3,276.63613103210633,0.9109453397434963,142.9988732931332,114.981275307249,6.430943433333333,0.31,False,275.4/277.0/277.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_enable_shadow_casting: no readback; this game build may ignore or reject the setting."
tf100-068-lb-enable-baked-shadows,lb_enable_baked_shadows,0,3,1+2+3,286.12052243687344,4.370648521162379,146.55396552528748,113.1331578784448,6.238550133333334,0.35,False,284.9/286.2/287.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_enable_baked_shadows: no readback; this game build may ignore or reject the setting."
tf100-069-lb-mixed-shadows,lb_mixed_shadows,0,3,1+2+3,284.5425816426425,3.795049460251909,146.53051691454434,114.70507683803585,6.270672533333333,0.62,False,282.2/284.9/286.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_mixed_shadows: no readback; this game build may ignore or reject the setting."
tf100-070-lb-dynamic-shadow-resolution-base,lb_dynamic_shadow_resolution_base,64,3,1+2+3,278.83883427686527,1.714444383423186,145.95282783609164,118.31397647056032,6.368845566666667,0.78,False,276.6/278.2/281.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | lb_dynamic_shadow_resolution_base: no readback; this game build may ignore or reject the setting."
